id,role,feature,benefit,
2767,pet owner,to have a monitor that tells me when my pet's food and water containers are empty,I can make sure my pets are always cared for properly,
2334,conserver of energy,to be able to calculate my energy savings by doing certain tasks such as drying laundry on a clothesline,I can quantify the results of my energy-saving decisions.,
2744,home occupant,a smart thermostat ,the temperature can automatically be adjusted to save energy ,
423,home owner,Electronic usage monitor,I can tell how much energy I'm using real time,
1278,home occupant,daily news on my mobile ,Getting news immediately ,
3154,home owner,network outlets,I wouldn't have to run them myself,
382,person who has parties and entertains others,my smart home to detect noise levels and adjust music volume on stereo when it's in party mode,noise levels remain consistent but not obnoxious.,
724,parent,a TV that locks itself after it's kids bed time,they can't turn it on even if they try.,
1479,gadget enthusiast,"a unit that will control the lights, sounds, temperature and entertainment devices in the house",I can easily control everything in the house,
2829,home occupant,my home to talk to me ask me questions,I can tell it what I want it to do,
1650,head of the family,"my electronic items to be periodically noted, as it might cause injury to my family members","I can change it or service it at appropriate time, make things for safety",
111,home occupant,innovative controls in my bathroom like controlling shower temperature etc.,I can save energy,
84,home owner,to be able to open the garage door with my smartphone/tablet,I don't have to go down to the garage to close it if I forget ,
62,home occupant,temprature sensors,temprature of house remains constant,
1454,living person,medical sensors to detect when a life threatening medical even occurs (heart attack) and notify emergency services,I can survive a life threatening event if I am unable to call for assistance,
3661,home occupant,To be alerted when food is near expiration in the fridge,We can avoid eating unsafe food,
3077,hostess,A party fridge that learns and remembers my guests drink preferences and makes drink menus and orders low supplies.,I can make sure to serve beverages that make many people happy and prevent arguments.,
826,parent,my kids activities to be monitor with the help of technology ,I can find out his what is wrong with his habits ,
2571,home owner,a smart dishwasher,my dishes will be cleaned while I'm at work,
1055,home occupant,self sanitizing bathrooms,my family gets sick less often,
1015,cat owner,to be notified when the level of cat litter has run low,I can add more cat litter to ensure that my cat has enough to do his business.,
2296,home owner,"the ability to tell a door in a room to open or close, plus lock",I can walk into or out of a room when my hands are full,
750,pet owner,my smart home to regularly track the weight of my animals with a scale hidden at the cat flap,"I may be alerted to significant changes in my animal's weight, which could suggest health issues.",
1039,food preparer,a waterproof screen in the kitchen that can look up recipes and play cooking instructional videos without me having to touch it,I can receive help cooking without destroying my laptop or other device with messy hands,
2045,parent,an alarm that tells me if a baby is awake,I can check on it,
1937,home owner,a smart house that monitors specific rooms with video at my command,I can keep watch on my small children,
301,mother,high tech learning,my child can learn,
277,home occupant,my smarthome to alert me when there is water flooding in my home during the rainy season,I can save my belongings,
144,parent,my smart home to play a warning sound when my child is close to the stove,he won't burn himself,
2889,parent,My smart home to record all of my childre's conversations when they think they are alone with their friends.,I know what they are up to.,
2826,occupant,automatic coffee machine,coffee is ready when I wake up and the machine doesn't have to stay on for longer than necessary,
676,parent,an alert that lets me know when my wi-fi or home internet is accessed,"I can monitor who is accessing these, when and for what purpose",
3351,home owner,heated driveway,I don't have to shovel snow in the winter,
1866,home occupant,doors that automatically lock within 1 minute after they have been shut,I never have to worry about forgetting to lock my doors,
2627,home occupant,the fireplace to turn on as soon as I enter the living room,I can be warm and comfortable in the winter,
116,home occupant,my smart home to tell me when my light bulbs are due to be changed,I do not run out of light bulbs,
57,gamer,the house to have projection all trough the house on the walls.,i can play video games with the remote controller all through the house,
631,man,when I should go to sleep,I cannot waste time and be healthy,
1567,home occupant,answering machine to play message when I walk into that  room,I don't miss anything important.,
2291,parent and grandchild,sensors in all rooms,if someone falls or cries out for help assistance will be forth coming.,
1303,parent,Refrigerator lock,I can keep the kids from sneaking food,
2329,coffee drinker,coffee to brew before it is needed,coffee is ready to drink asap,
1902,home owner,toaster that will use less energy,i will save money,
3366,music lover,my smart phone to be connected to speakers in every room of the house,"I can enjoy music whenever I want, wherever I am in the house",
2201,person who loves her cats,to be alerted every time my outside cat comes to the door to be fed,I can feed him,
174,home occupant,"home automatically check air quality (for elegant, dust, soot etc) and try to improve quality level by automatic intake of fresh air",air quality is on good level,
3177,home owner,windows that keep in theheat and keep out the cold,comfort and energy conservation,
2739,home occupant,a smart vacuum ,i do not have to clean ,
3117,home occupant,"a program to search,  and download movies on it's own when I ask it to",so that I don't have to do it.,
1341,parent,my smart home to alert me whenever the stove is being used when I am not home,I know my children are safe ,
2353,parent,a sliding shower head that adjusts to height,my children can take a shower on their own,
1041,home occupant,self scrubbing carpets,I never have to pay for a deep cleaner when i move,
1175,parent,cameras in my child's room,they can be safely monitored,
2528,home occupant,my smart phone notify me when my fevarite program on my TV.,I can watch it.,
1258,home occupant,my smart house to notify me when someone not in the household is near the premises. ,I could feel safety and be aware of everything going on around my house.,
2375,consumer,Automatic lighting in each room,so that I never have to stumble in the dark,
1714,social worker,a bike which runs in herbs oil (not petrol/diesel),global-warming should be less and no co2,
223,owner,Net alarm system ('smarter' home security system),"As part of the system, window and door fixtures contain motion sensors which alert us when there is a trigger through an accompanying application. This system is easy to set up and connect to  smartphone, and also comes with a keychain hob which allows users to remotely alarm and disarm a system -- as well as a 'panic' button, which if pressed, alerts the connected smartphone to the call for help",
3625,worker,a smart alarm,I can't just stop the alarm easily,
1978,home occupant,my mattress to heat up at the same time my thermostat cools down,I can be warm when I go to bed,
1824,music lover,"Auto volume control when vetting out from my room while listening ,and auto increase when enters , switch volume and song changes with my words.","Easy to.use , feel lively while listen music .",
2448,home occupant,laser tripwires installed that are app controlled in geometric patterns that set off alarms,burglers can't burgle,
2606,parent,front door to lock if I am in the shower or busy cooking,my child cannot get out on their own,
1012,cat owner,to be notified whenever my cat uses the cat litter,I can clean it immediately and my cat can enjoy clean cat litter.,
2317,home occupant, integrated smart electronics, I only need one remote and devices are easy to operate.,
2902,human being,something that automatically refills the toilet paper in my bathroom,I don't get stuck without a roll.,
2792,home occupant,my appliances to interface with each other. I want them to share information about what they're doing (probably based on a recipe on my cellphone),cooking can be more efficient.,
542,home occupant,"my smart home to adjust to the weather conditions outside, when I am inside/home","my home is always at a pleasant temperature, no matter the weather outside. In the summer I want the air conditioning to adjust to a comfortable temperature, in the winter I want the heat to adjust to a comfortable temperature ",
2698,home owner,food created on demand,I can have exactly what I want when I want it.,
1101,home owner,my doors to lock automatically.,my family is safe,
693,home owner,tiles that absorb the water in washrooms after shower,it is safe to walk in the washroom after taking shower and I don't have to dry it manually.,
939,home occupant,regulate my bore well motor,Monitor the start and stop the motor running automatically,
2663,home occupant,to be notified when a package is left,I can grab it and am aware it's there,
1276,parent of a teenager,my smart home to call my cell phone when my child enters the home,"so that I know he is really home and of course, that he is safe.",
381,home occupant,my refrigerator and pantry to notify me when certain ingredients are running low,I will not run out of necessary ingredients when they are needed,
1729,home owner,my house lights and lamps got lighted from solar energy only without electricity,electricity can be saved,
2567,home occupant,to know any cameras targeting us to capture us without our permission.,we would be more safe.,
2414,home owner,my alarm clock to sync with my coffee maker ,I can wake up to hot coffee ,
804,home owner,My home to alert me to my favorite shows and DVR them for me when I am not home,I don't miss an episode,
1798,parent,my home to have the ability to scan a face and tell me who is at my front door,my family stays safe.,
2781,pet owner,a pet door to not open when any animal other than mine tries to enter it,wild animals don't get in my house.,
688,wife,my dryer to alert me via phone notification when my dryer has completed,I can use my time to concentrate on other chores and maximize the laundry I can do.,
1907,book lover,lights that I can adjust from my chair,I can continue to read without worry about eye strain,
3248,home occupant,my smart home to sense when I have come home from a stressful day at work and automatically draw me a tub to the perfect temperature and add bath salts and light electric candles and dim the bathroom lights.,I can relax and get rid of all my stress by soaking in the tub.,
54,parent,automated sharp furniture sensors,"if my child nears such places, alarm goes off",
3386,gamer,a video projector that would extend the detentions of my television screen  ,I would have a more immersive gaming experience  ,
883,home owner,gourmet recipe banks in the ovens,i never go hungry,
2057,home occupant,my smart home to alert me if movement is detected outside,I can be safe at night from prowlers,
1082,music lover,a certain type of music played when I express my mood,I quickly get my music without thinking.,
885,home occupant,to listen to the latest NFL scores,I am up to date. ,
2200,home occupant,an automatic fireplace lighter,I do not have to waste time with matches,
891,home occupant,to have feedback on my brushing technique,I have healthy teeth,
2331,alcohol drinker,alcohol supplies to be maintained. ,there is sufficient alcohol.,
1895,home owner,self-cleaning tub,I'll have less chores,
1436,parent,A gaming console that will only operate under parents commands,"My kids will do whats important first, before playing",
3284,home owner,my smart home to be linked to my cell phone,I can turn on the lights before I approach the house.,
218,home owner,my smart home to automatically start radio in specific timings ,I can't miss any favorite radio songs ,
1405,parent,Computer controlled cameras to come on in case of emergency,I can quickly see if there is a dangerous situation at home remotely,
725,home owner,automatic lights,I never have to mess with light switches again. (and save energy in the process),
575,person who appreciates simplicity,"a smart door that communicates with my phone and unlocks itself automatically when I'm next to it, then locks itself once I'm inside","I don't have to fumble around with keys when I'm trying to get into my home, and I know it's always secure.",
378,small pet owner,detection of small bodies in motion,in case a small pet like a rat gets loose I can narrow the search,
2988,home occupant,windows that adjust to the amount of outside light,I could modulate the amount of electricity I use for lighting,
3306,home occupant,"24hr video streaming of a 360 degree view of my home to see who is on my property when I am not home and to notify me when it occurs. Also, it should save the relevant video of the intrusion and delete the rest of the mundane footage after a week automatically.",I can be secure in my home and protect my property,
1262,home occupant,the hot water to regulate based on which person is taking a shower,it would save on energy bills,
3681,home owner,"to be notified automatically when the land taxes are due,",I don't forget to pay them.,
3531,home occupant,smart mail box,It will alert me when the mail arrives,
1352,home appliance,Containing Woods and locks,To close my doors of my home to protect safety,
3637,parent,appliance alarms,"I can be alerted if the stove turns on or someone opens the refrigerator when I am not around via smartphone to protect children from burns, etc.",
3020,home owner,automatic temperature controls,I am always comfortable without wasting energy.,
728,music lover,an app that can sense my mood,"I don't have to change songs, rather it plays songs according to my mood automatically",
266,home occupant,"my smart home to collect and manage the various power requirements of my smart appliances, heating and cooling technologies, and my security and access systems, and I wish to be alerted via text message via mobile phone when power-related problems, spikes or failures occur","I may have alternate back-up power sources automatically activated, or manually activate them myself",
1127,parent,My home to track small kids activity and alarm us when they fall down something like that,take care of them,
2814,cook/chef,a kitchen that will help me find recipes and talk me through making them,I can make healthy/fun/interesting meals on the fly without thinking,
2573,home owner,a gas detector,"if there's carbon monoxide or other poisonous gases inside, the authorities are notified",
566,home occupant,my heater to turn on,my house is warm when I get home in the winter,
1962,home occupant,an alert that lets me know if the stove or oven is on after a certain amount of time,I can make sure that I have not accidently left it on,
3645,busy american,"morning news and weather projected in the shower, bathroom, and kitchen",I can multitask easier in the mornings.,
3640,home occupant,an aroma air controller,I can control the scent throughout my home via an electronic device to keep the home smelling fresh with different scent options,
1275,health conscious person,my home to sync with my fitbit in order to prepare a meal/drink and adjust room temperatures ,when I return from a run/exersize I will have a healthy meal ready and i'll be comfortable.,
2465,home occupant,my curtains to auto open and close at certain times,i can get the proper lighting and the house will be safer at night because no one can peer in,
1046,home occupant,smart smoke and carbon monoxide monitor that is more interactive than a simple alarm that's confusing and frustrating,I can be assured I'm safe and don't have to mess to antiquated devices,
1844,home occupant,"Auto control power ,save energy , that was the system that control power after sleep, and empty rooms , reduce energy saving modes was also include.","Saver electrical energy, supports green planet.",
3215,bachelor,a device that can emit nice fragrances when I have a female date over.,women can feel more comfortable when they come to my house.,
1337,home owner,my smart home to be able to adjust my thermostat based on my voice from wherever I am in the house,"if I am cold or hot at night, I can adjust it without getting up",
2738,home occupant,sensors throughout the house,I can input what I want to find and the sensors can track it for me,
807,flower enthusiast,to have my plants watered regularly,they live for their maximum lifetime,
3271,person,"to stop electricity to certain outlets that no longer need it, like when a phone is done charging",I consume less electricity for the environment,
2976,home occupant,an automatic germs and dust cleaner,my house is free of germs and dust.,
1764,home occupant,something that prevents sun from coming in windows.,so no sun pentrates.,
2922,parent,my security system to update me when there is movement within the home,I can check on my children when I am not there,
377,room,big room ,enjoy well,
2942,home owner,my water to cut off,in the event of a leak there is minimal water damage.,
1003,"person who is highly active online,",my new e-mails to be listed and read out to me when I wake up in the morning,I don't have to grope for my cell phone to check my e-mails every day when I wake up.,
1180,controller,my smart home to know when it has rained the last few days and not run my sprinklers,I don't waste water,
1389,parent,the humidifier in my son's room to turn on and off at certain time overnight,"he remains healthy from the moisture but, there isn't so much that the room becomes overly humid",
8,home owner,smart home to make me sleep early,I sleep early,
3309,home owner,a feature that alerts me to local lightning events.,i can turn off and/or unplug any appliances in a timely manner. ,
1906,pet owner,a remote feeder ,I can fill my pet's bowl from work or running late so they don't have to wait hungry.,
3562,home occupant,moisture sensors in my soil,the sprinklers can kick on automatically when the soil is dry.,
511,home owner,my smart home to notify me if the household's carbon footprint is getting too high,we can be more environmentally responsible.,
3217,consumer,a Refrigerator that can display what the best prices in my area are for food I'm running low on,I know where to go shopping for this food that day,
3281,home owner,my smart home to turn on the oven at a specific time before I get home,meals I have placed inside can be cooked and ready for dinner.,
11,worker,my smart home to be able to order delivery food by simple voice command,I can prepare dinner easily after a long day at work,
1985,smart home occupant,a 360 roaming camera around my house,i can see what is going on without being there and it won't be just stationed in one corner,
3674,home owner,a detector in my indoor plants that monitors water and nutrient need,I can better tend to them ,
2088,home occupant,"a remote activated package slot with camera that mailmen can use to drop packages in. Mailman can press a button, which video calls my phone. If I can confirm that it is the mailman, I'll remotely open the package drop for mailman to place package in",I don't need to worry about packages getting wet or stolen if I am not home to receive them,
815,cook,my oven to clean itself periodically,I can use it more frequently,
1628,party thrower,to have monitored the beverages and foods my guests have the most,I can easily buy more for the next time they come over,
2877,gun owner,a self-locking/code-locked cabinet,my guns are kept safe from small children/other people.,
2793,home occupant,automatic shades to adjust based on the amount of sunlight hitting the home.,it's not too bright and not too dark inside and I save energy.,
3134,home occupant,I want a program installed in my home to keep track of my daily water usuage,I am more aware of how much water I do not need to waste,
1443,parent,A vacuum that will tell me when the floors are 100 percent clean,"I dont have to worry about my kids crawling, rolling on the floors",
105,home occupant,my smart home to tell me the temperature outside.,I know the actual temperature and know what to wear for the day.,
2996,home occupant,fridge that can make ice cream,I don't have to buy ice cream,
2113,home owner,control my blinds with a remote,adjust the light coming in during the day and provide privacy at night,
2165,home owner,remote light switch,turn off my lights and save power,
3678,home occupant,to know if I've gained more than 5 lbs in the past week. ,I can change diet and exercise as necessary,
56,green advocate,a lowered powered home security system,"energy can be saved, utilized, and maximized to the best of needs for conservation.",
2290,energy innovator,shields or screens  for windows,they can automatically be deployed to shade/insulate windows or sides of the home to reduce heat gain from the sun in the summer or heat loss in the winter especially when everyone is sleeping or no one is at home or in that section of the home.,
2643,home occupant,lights in my smart home to open when I enter a room and turn off as I leave. ,I can conserve energy and save money. ,
3133,dog owner,leash that can go around the entire outside of the house,my dog doesnt run away but has a room to run.,
2462,cat owner,a series of well placed airhorns (but a different frequency than the litter box airhorn and the garden airhorn) ,I can spook the cat off of unwanted surfaces ,
3595,home owner,my air conditione/air cleaner to automatically come on when the air quality hits a certqin level,allergens and air contaminants are purifed from the air.,
1738,home occupant,voice-activated lights,I can turn on and off the lights wherever I am in the room.,
1188,pet owner,the door to automatically open if the dog is at the door,The dog can be let in automatically,
2473,home occupant,the litter box to be auto cleaned when dirty,the house stays sanitary and the air is always clean,
2348,home owner,my bedroom humidifier to turn on at 11pm every night,I can sleep comfortably through the night ,
1974,early waker,automatic extra water heater,I have enough hot water for a morning shower,
1633,parent,"have a closer look at the kids internet surfing , timing, interest",they dont get into wrong sites and get corrupted,
2575,home occupant,a smart washing machine that turns on automatically or by remote command,the clothes are washed and ready to be placed in the dryer by the time I get home from work,
311,home occupant,My smart house to turn the lights off after there is no movment in a room for 20 min,I can save money on light bulbs and electricity.,
2541,home occupant,Smart recipe books,I can make meals/recipes based on whatever I have in the house,
2470,home occupant,toilets to auto flush when necessary to conserve water ,i do not waste water,
1673,home occupant,a device that monitors basic health information when I am at home,I may be aware of any changes.,
2993,music listener,A house that can create an adaptive playlist based on the time of day,I can enjoy my music,
3380,home occupant,my clock to remind me when it is my sleeping time,I dont waste my time doing some unnecessary stuff and get late in morning,
245,home occupant,Thermostat show temperature from across the room and give recommend to heat or cool the room. ,can be save on energy costs,
3089,viewer,"an interconnected entertainment network, house wide.","I can roam the house and multitask, but any program, music, or movie I am watching comes on as I enter the room, and turns off as I leave.",
1119,home occupant,My home to detect weapons or harmful materials who is inside the home,we can ensure our safety ,
2476,"environmentally conscious home occupant,","my smart home to dim or turn off lights if no one is home, ",I know I'm not wasting energy.,
2244,home occupant,My washer and dryer to alert me on my smart phone or through my smart home when a laundry cycle is done ,I automatically know when to change my clothes over even if I'm in a different part of the house or even somewhere outside. ,
25,home occupant,my smart home to sync with my alarm in the morning to turn on the lights and shower when it's time for me to wake up,I can start my day more efficiently,
196,home owner,my smart home to tell me if food is spoiled in the fridge,i dont eat old food,
1245,telephone operator,answer phone,use hands less,
594,a1,my washer to run when no one else in my community is using the washer,we avoid peak loads,
2281,owner concerned about health,scan function ,"all beings in the home regardless of room would be scanned with a new sonar-like function for life threatening bio changes and appropriate alerts triggered for such things as temp spikes, blood pressure crisis, etc",
2617,home owner,A smart home,It will.benefit me.with things in everyday life,
1058,home owner,my smoke alarms to regularly test themselves and report the results to me,I will always be assured that my smoke alarms are working in case of fire,
920,home occupant,air purity controller,it detects pollution and sensors get active,
597,home occupant,my televisions sets turned off at 12AM.,i reduce energy use.,
2253,music lover,"My smart home to be prompted to ask me when I get home if I would like to listen to music, and allow me to select what I would like to listen to through a verbal menu. ","I can get music conveniently and easily, and save more time for relaxing after work. ",
1897,parent,a fridge that gives healthy recomendations based on the food we have,my kid can eat better,
869,parents,to have high resolution and night vision camera for my baby,I know the second my baby is up and moving,
3477,home owner,led lights to change colors of room ambiance remotely,I can entertain guests easily,
3624,home owner,my house lights to blink if I have a phone call,I never miss a call,
3308,parent,separate media settings/log-ins for our entertainment center,the younger children can't access age-inappropriate entertainment,
3664,home owner,to know what is in the fridge,it makes shopping and  food prep easier,
736,home owner,speakers throughout the house that sense which room I'm in and play in the appropriate room,I can have music wherever I go,
675,home owner,my phone to alert me if carbon monoxide levels are outside of the normal range,I can ensure that everyone in the house evacuates and is safe.,
1648,home occupant,My Smart Home to notify when I need to buy favorite foods ,I may purchase the before I run out.,
3283,parent,a biometrically locked box for medications,my children can't accidentally access dangerous medicines,
312,human,the heat turned up,I am warm when I get home,
944,home occupant,Automatic fan regulation,when enter the room and sit down more than 5 min,
904,home occupant,"to be able to lock and unlock my doors from any location, from my phone","i can easily let neighbors in if necessary, or the kids if they've forgotten their key without having to worry about someone finding a hidden spare",
2117,parent,A lock installed on the refrigerator that is voice activated,my daugher will stop opening and closing the doors and getting into things. ,
712,home occupant,automatic lighting,I don't have to always remember to shut lights off when I leave a room,
1723,home occupant,To clean my cars,my cars become clean,
1967,avid online shopper,my smart home to sync with package deliveries ,so that the packages can be left at my door,
2677,pet owner,the house to feed the cat,I don't have to ,
204,student,my smart home to have a system which can remind me to do a pre manage lists of a day or night,I can't miss any less important task,
538,home occupant,My smart home to turn off appliances when they are not in use.,I save and not misuse energy,
166,home occupant,my smart home to alert me when there is more than one person in the house,I would know if someone is breaking in,
2265,electric furnace owner,the ability to sense and shut off multiple elements based on heat usage,"I do not need to heat up all of the elements when only need to heat a couple of degrees, thus saving money",
2983,home occupant,an automatic stove,it shuts itself off when I'm not cooking,
975,home occupant,my smart home to alert me when there is difference in elder person's movements.,so that i can know if they are not feeling well.,
1540,home owner,a roof made of solar panels that functions as a roof and an energy source,I can save electricity and money,
1367,chef,kitchen appliances with smart technology,I can cook better overall,
238,home owner,remote wireless access to surveillance cameras,I can keep an eye on my home in real time even when I am away.,
3251,car owner,a station that can automatically make biodiesel for my car,I can have really cheap gasoline to power my car.,
5,home owner,Cook healthy food for me,I stay fit,
1111,family care taker,my smart home to detect our foods are 100% organic ,I can ensure our family health ,
3610,home occupant,My TV to automatically come on and off at set times.,I can be able to manage electricity.,
233,occupant,Multipurpose bathroom appliace like shower,"It can automatically sense the room temperature and  according to temperature ,it change the temperature of water so that we will not have any discomfort while bathing.",
1045,home owner,to be alerted whenever my favorite celebrities have a show or movie on tv,I do not miss an airing of my favorite actors and actresses,
1201,parent,"Carpet that absorbs and self-cleans spills and crumbs after a set time, and tile/hardwood floors (kitchen, bath, basement, etc) that self-clean at night (a variable static charge to move loose particles to a garbage recepticle, & targeted stain removal).","I don't have to vacuum, steam the rug, sweep, or mop.",
2385,lazy person,a robot that hold my book or tablet in front of me and turns the pages,i don't have to pull my hands out into the cold and turn my own pages,
3708,parent,nanny cameras with motion detection enabled,help is taking proper care of my children,
481,man,road should be in active way,save time,
2879,parent,my smart home to let me know when the children leave the yard,I can keep track of their whereabouts,
3311,bathtub user,my smart phone to be attached to my bath,I can fill my bath with hot water when I'm ready to take one,
981,home owner,The crock pot to turn on at a certain time of the day,When I get home the food I put in the crock pot will be done.,
3544,pet owner,smart monitor,I can see and interact with my dog when I am away,
3436,role,Benefit,Cleaning,
44,home occupant,hallway motion detectors,safety is increased,
37,home owner,my smart home to monitor my energy use and make recommendations to reduce energy consumption,I will save money on my energy bill.,
677,home occupant,my television to turn on my favorite shows when I walk in the room,I can proceed with my morning routine,
2182,person,to be alerted every time someone goes into my room,I know if someone is invading my privacy,
2907,home occupant,my smart home to alert me if the children are using the internet when they are supposed to be asleep,I can ensure that my children have the proper amount of sleep,
1604,home occupant,the refrigerator to remind me went we're low on a certain item(s),we can stop and get it on the way home and save trips to the store,
1242,game tester,remind to play games,help with work,
2090,home owner,to know my internet connection status,I have a good signal constantly,
2880,parent,To have my children surveilled  when they go to the bathroom'.,I know that they wipe properly and wash their hands properly;,
502,parent,temperature monitoring in kid's room,they can feel comfortable at night,
3191,home occupant,timer set up in my shower,the water turns off when time is up. To save water.,
253,home occupant,coffee machine is controllable from mobile and tablet.,can be save time,
2868,home owner,an app on my smart phone to control my stereo system,I can turn it on/off or change stations/tracks if I'm in a different room.,
2977,home occupant,my smart home to have an automatic water server that serves water as an when i feel thirsty,i don't have to get up every time i feel thirsty. ,
2314,furniture,very useful,yes i like it,
3398,home owner,an alarm clock that would be able to wake me up with out disturbing my partner,my partner would be able to get the rest she needs,
246,home occupant,my doors to lock up automatically after a mentioned time,we can prevent theft and other burglary ,
341,bather,a standard setting (like a car radio button) for a temperature I like the water,I don't experience water that's too hot or too cold each time,
1947,home occupant,a feature that measures exactly how much water is being used and alerts me when I have crossed a given threshold,I don't waste water and know exactly how much water I am using,
456,home owner,my home to be able to alert me to where my keys and wallet are at any time,I don't have to look in multiple rooms for these items when I need to leave,
2345,person concerned with following directions,"digital, voice activated timers in certain areas of the house","I can easily ensure that I am brushing my teeth for the appropriate amount of time, cooking something long enough, etc.",
3644,hostess,appropriate music according to the number and age of guests,we can enjoy ourselves.,
3638,parent,my home to alert me every time someone leaves the house ,when my kids decide to sneak out they can't come back and lie that is wasn't them,
2230,parent,my smart home to text me when my kids come home from school,I know they're safe,
3237,home occupant,my closet to put forth clothing that is appropriate for the weather,"I don't have to dig out the clothes I need, saving me time.",
340,home occupant,"my smart home to allow me to track my fitness goals (like weight, exercise calories, food consumed) through an easy app (like while preparing a recipe I may be able to just push the i've eaten this button"" on the interface)""",I am encouraged to be more active and eat better.,
855,home occupant,my heated floors to turn on at 6:45 am ,they are heated once I get out of my morning shower.,
3326,home owner,feature that alerts me as to when my garage door has been opened or closed.,I can know when my garage is open or closed.,
3130,home owner,window sensors,I am aware if I leave a window open after I leave the house.,
77,home owner,to control my stovetops with my smartphone or tablet ,if i am in another room and need to lower the temperature I am able to do that,
2660,uncle,my home to automatically recognize my nephews and nieces through facial recognition software and give them access to the house when they visit.,I do not have to give them a key.,
345,home occupant,door and window sensors,I can tell if anyone suspicious has been around my house and can avoid robbery.,
3558,host,"A system that will make conditions unpleasant (turn the lights on, the music off, and the heat down) when I want my guests to leave",I can get rid of my guests without being overtly rude,
2728,pet owner,a litterbox that alerts my phone when my cat has used it ,i can clean it right away ,
164,my pets,my pets don't go to the motion for in my home,my pets don't do ugly in my home,
2325,husband,to wake wife up by 8 am,wife doesn't oversleep,
3182,home occupant,my smart home to have a payment system near the front door that can only be accessed by an occupant,I can pay delivery drivers without opening the door and stay safe.,
3705,home occupant,my home to turn lights on and off based on what room I am in,I can see without power switches and so power can be saved,
1927,home occupant,my smart house to turn off the central air when I'm asleep,I conserve energy,
3700,home owner,A rotten food detector in the refrigerator,I can get rid of food that might make me sick,
2714,home occupant,Rollup window blind sensors,The window blinds will open automatically during daylight hours and then close when it is dark.,
1130,home owner,an alarm to sound if a TV is still powered on after leaving the house,we can conserve energy.,
2570,mother,the bathtub to self regulate water tempertature,my kids never get burned by hot water,
799,home owner,To be able to access my home from away from home,I can keep tabs on what is happening,
2432,home occupant,doors to be auto locked when entering or leaving the home,i am protected from a robbery or forgetting to lock the doors,
1687,parent,a headcount of how many people come and leave the house.,I can keep up with the security in the house manually.,
2771,home owner,a smart water filtration and filling system,I can have a constant supply of clean water to keep up with my hydration needs.,
3238,home owner,cameras that turn on when someone pulls into the driveway and shows me who is coming,I can be prepared for visitors/intruders.,
2601,home owner,a garage door that automatically sense when I get in my car and opens the door or when my car approaches the door and opens the door,I don't have to use a garage door opener,
742,home owner,a refrigerator that lets you speak a grocery list and automatically transcribes the items and emails them,you never forget the little things at the store again,
2183,home occupant,"My smart home to be energy efficient, notice when devices are turned off for a certain amount of time, and auto power off the plug completely.","It saves on the energy bill, and saves on the environment.",
577,person who appreciates convenience,"a smart chair that knows who is sitting in it, then turns on the tv/entertainment system based on that individual's preferences, then turns if off or pauses media when I stand up","I can save energy from my entertainment, and also have my preferences loaded instantly when I sit down.",
3349,home occupant,be able to see how much electricity each item in my home is using,I can replace appliances when they start to become energy inefficient,
1145,home owner,A bill reminder ,that i can pay my bills on time,
3032,home occupant,faucets that detect temperature,everyone can avoid burning themselves if it's too hot or shocking if it's too cold. ,
1078,home owner,want my sprinklers to turn off after 3 minutes,so that i will use less water,
3695,caregiver to a medical marijuana patient,my home to deliver a measured dose of medication to the patient,I will have more time free,
966,cat owner,my cat's food bowl to automatically fill itself when empty or it is time to feed my cat and to seal when the cat is not eating,"my cat's food does not go bad, and so it doesnt go hungry.",
1038,home owner,A smart dirty clothes hamper that takes clothes and sorts then and washes at a specified time,I can save time on doing laundry,
1808,home owner,my home to turn on my coffee pot and make me coffee 10 minutes before I wake up,I can drink it as soon as I am awake,
41,home occupant,my smart home to notify me when someone other than a family member or trusted other is near my home,my family can be safe,
932,media watcher,my smart home to make reccomendations of the up to date (new) movies that I may enjoy and remind me of shows I have recorded on my dvr.,I can keep up to date on my media.,
1956,baseball fan,"my smart phone to notify me 10 minutes before the Braves games begin and if I don't respond, automatically DVR the game",I don't miss a single game,
1546,home occupant,the temperature to be adjusted in individual rooms,I don't have to wait to heat or cool the whole house and waste time and money when there is only a few people inside.,
848,conservationist,there to be rain catches on the roof that can purify rain water for drinking,my family can cut down on the water bill. ,
1988,home occupant,my smart home to sense when to and water my houseplants when they need it,i won't have to remember ,
1281,home occupant,"the iPod to play Slayer's South of Heaven""""",I can listen to it while I work,
2416,home occupant,my smart house to adjust the temperature of which room I am occupying and decrease the temperature of other rooms not in use,I would conserve energy to only rooms in use ,
2702,home owner,my smart home to alert me to reports of impending violent weather,I can make preparations for safety,
1831,home occupant,to be alerted when I have mail,I know when to check it because I don't always receive mail,
1460,home owner,sensors to detect a break-in and automatically close and lock the doors of the room containing intruder,I have time to take emergency action when a break-in occurs,
1026,parent,to lock the cartoon channels after 1 hour,my kids do not waste time.,
2269,home occupant,"My smart home to automatically work to put out fires if one should arise. When the smoke detector goes off, I want there to be a sprinkler system or a high pressure hydraulic system in place that will work to at least fight the fire if not put it out completely. I imagine a future filled with fireproof houses"" In this future our smoke detectors are going to need to be a lot better to avoid them going off at happenstance times or malfunctioning. But I would much rather my stuff be soaked in an instance like this than for my house to be completely destroyed by a fire. """,The home remains safe ,
2770,parent,smart child sensor,I will be alerted immediately if off-limits areas are accessed by children,
83,home occupant,outdoor motion sensors,Trespassers can be identified,
